Age,Height(cm),Weight(kg),Running Speed(km/h),Calories Burned,Running Time(min)
54,152,45,13.5,334.0,33
56,178,92,8.0,1027.7,77
52,167,56,10.5,672.2,70
59,169,49,13.5,390.3,35
53,163,81,10.5,662.7,48
31,183,76,8.0,324.8,31
44,180,99,10.5,537.8,32
34,189,53,10.5,886.3,95
50,167,85,10.5,1162.0,80
38,179,79,10.5,857.0,65
27,174,63,13.5,1155.1,79
29,168,92,8.0,698.5,57
20,157,60,13.5,945.9,71
38,177,47,10.5,196.9,24
23,157,64,10.5,567.3,51
59,180,68,8.0,596.4,62
40,152,98,8.0,1136.1,83
20,152,77,13.5,1187.9,70
44,171,68,13.5,1315.3,90
31,166,96,8.0,681.8,50
17,185,55,13.5,548.7,45
19,166,93,10.5,1166.7,69
30,163,52,10.5,468.2,52
54,158,80,8.0,983.8,87
17,179,82,13.5,2003.1,104
54,170,84,10.5,432.7,29
54,161,64,8.0,263.3,30
37,186,79,13.5,1628.4,91
45,181,92,10.5,1665.5,103
21,160,69,13.5,1690.9,108
26,169,79,13.5,1148.9,67
44,184,69,13.5,1108.3,70
37,160,73,8.0,204.5,21
23,157,62,10.5,733.0,71
19,153,90,8.0,869.8,69
36,176,62,10.5,688.7,66
35,189,46,10.5,148.8,18
51,187,98,8.0,801.0,57
20,179,79,8.0,616.4,54
21,176,60,10.5,1238.0,116
17,170,85,10.5,653.3,44
20,169,80,10.5,331.0,24
28,153,77,13.5,1869.4,108
43,160,48,10.5,952.4,117
58,162,77,8.0,220.3,21
39,158,58,8.0,409.9,50
41,153,65,8.0,428.1,49
37,161,92,10.5,1603.5,102
40,158,64,10.5,608.4,53
41,162,52,13.5,566.2,50
48,175,51,13.5,380.2,34
48,187,47,8.0,389.8,63
21,162,61,13.5,1543.0,110
52,188,77,13.5,1279.6,73
58,177,92,8.0,1518.0,117
58,168,56,10.5,599.8,63
55,173,95,13.5,2264.7,104
32,168,66,10.5,466.5,40
49,162,99,8.0,675.6,50
37,162,66,8.0,517.2,57
25,177,90,13.5,2303.8,113
22,151,74,8.0,583.1,57
51,159,82,8.0,1300.0,113
55,171,82,8.0,988.3,90
38,162,89,13.5,945.0,47
57,158,95,13.5,2424.6,114
21,182,98,13.5,2020.7,92
58,163,52,8.0,796.0,111
39,169,71,10.5,761.0,59
33,164,71,8.0,597.9,59
28,181,78,13.5,1813.3,102
39,182,65,10.5,337.0,29
32,166,74,10.5,1347.0,109
19,173,77,13.5,550.2,31
46,179,72,10.5,327.1,26
38,162,91,10.5,562.9,36
25,165,77,13.5,617.9,37
45,151,49,10.5,853.9,104
53,166,92,10.5,1413.8,92
39,181,63,13.5,356.1,26
29,157,48,10.5,656.4,82
48,152,79,10.5,919.5,65
39,161,93,10.5,428.4,27
33,169,61,10.5,748.0,71
56,165,88,13.5,1410.3,69
37,163,72,8.0,919.3,96
18,165,74,8.0,444.4,42
53,182,73,10.5,1502.6,116
22,179,90,13.5,2371.7,119
34,161,97,13.5,1217.5,58
46,164,50,10.5,277.0,33
38,167,79,8.0,644.9,60
49,177,85,10.5,1663.4,116
46,172,81,13.5,302.6,17
33,163,68,13.5,1417.8,97
59,179,73,8.0,346.6,34
48,182,93,13.5,787.1,39
58,164,90,13.5,1848.5,89
30,156,97,13.5,1484.7,70
26,164,75,8.0,1015.0,95
52,187,79,13.5,1291.8,75
50,160,77,10.5,950.4,69
25,178,96,8.0,639.9,49
58,180,65,10.5,1055.2,92
44,174,76,10.5,926.1,73
27,173,67,8.0,491.0,53
30,168,77,10.5,923.1,71
55,151,47,8.0,629.8,97
35,171,62,10.5,847.3,81
31,169,69,8.0,455.3,48
44,182,86,13.5,1022.8,55
40,157,75,13.5,590.5,36
24,174,98,10.5,2008.3,116
59,158,47,13.5,454.2,41
25,183,84,8.0,404.6,35
49,172,90,10.5,882.5,55
49,154,68,13.5,691.2,45
35,174,94,13.5,867.0,41
19,157,76,10.5,648.8,51
26,165,91,13.5,1579.7,80
56,164,66,13.5,1048.5,68
58,150,67,10.5,267.3,23
17,171,46,13.5,1015.4,97
45,152,71,13.5,897.1,56
50,187,86,13.5,955.8,50
29,163,46,13.5,245.6,24
17,185,70,10.5,899.2,73
50,167,61,8.0,439.3,54
45,167,84,8.0,781.3,68
29,152,77,13.5,913.4,53
45,159,53,13.5,262.6,21
55,188,87,8.0,213.4,18
40,150,98,13.5,648.7,29
42,176,92,8.0,1103.9,90
33,176,83,10.5,861.4,62
23,160,73,10.5,265.0,20
29,154,86,10.5,1339.6,87
21,156,99,10.5,833.4,49
42,168,70,10.5,1054.0,86
19,178,79,10.5,1132.3,85
23,164,94,8.0,1088.4,82
55,184,69,13.5,1069.8,72
17,186,68,8.0,878.0,91
33,161,57,10.5,330.7,33
59,179,51,13.5,852.8,76
41,169,80,13.5,1585.5,85
19,186,89,10.5,392.0,24
31,152,64,10.5,426.1,39
45,158,45,10.5,470.7,58
59,188,52,10.5,1054.0,113
48,175,90,10.5,1162.0,72
42,151,60,10.5,428.2,39
32,172,58,13.5,1394.5,107
41,172,56,10.5,897.4,90
44,170,95,10.5,926.8,54
25,165,67,13.5,1354.0,90
17,158,59,8.0,684.3,84
45,162,72,10.5,296.9,24
38,177,78,13.5,1443.4,80
32,176,46,13.5,411.2,39
57,166,76,8.0,889.3,85
57,187,67,10.5,1372.4,118
23,185,66,10.5,1116.7,101
30,150,95,10.5,395.1,25
45,167,69,13.5,778.5,50
35,158,66,10.5,721.6,63
35,162,66,10.5,737.3,62
18,189,93,10.5,1650.8,101
57,164,96,10.5,368.2,21
31,153,86,8.0,1211.2,105
19,182,50,8.0,660.3,91
27,173,59,8.0,519.8,65
46,185,98,10.5,539.2,31
56,159,87,10.5,700.5,46
34,185,81,13.5,718.8,40
18,169,77,13.5,601.2,36
48,160,52,13.5,304.4,27
24,161,97,10.5,450.7,26
38,167,88,8.0,1022.1,85
22,179,88,8.0,191.0,15
28,186,49,8.0,313.0,47
56,169,83,10.5,426.4,28
52,174,48,8.0,502.7,78
31,161,50,13.5,615.8,57
44,170,89,13.5,1414.8,72
34,174,76,8.0,600.5,55
18,160,96,13.5,2056.5,95
29,158,74,8.0,808.8,82
31,174,91,8.0,647.3,53
36,184,79,13.5,261.6,15
45,181,99,13.5,1236.2,55
58,163,84,13.5,1096.4,59
45,150,96,13.5,2257.6,102
19,166,60,8.0,940.4,112
35,174,57,13.5,1490.1,112
19,157,94,13.5,2157.5,102
30,154,86,10.5,1376.0,93
56,154,74,13.5,1660.2,95
20,184,63,13.5,377.2,27
27,168,61,8.0,712.1,85
47,172,63,8.0,206.6,23
59,158,72,10.5,930.3,77
48,179,99,13.5,2488.5,113
43,165,70,13.5,558.6,37
46,182,81,13.5,1194.6,68
59,151,70,13.5,913.2,61
18,163,97,13.5,1100.0,53
25,150,67,13.5,1504.3,101
44,175,53,10.5,382.5,40
47,174,56,13.5,190.6,15
50,165,97,13.5,619.3,28
31,164,45,13.5,1115.9,110
41,175,45,10.5,715.2,88
52,165,91,13.5,1679.1,79
24,163,78,10.5,1172.6,83
25,178,76,8.0,878.2,81
53,173,98,13.5,1345.1,63
55,164,92,10.5,1040.1,64
48,168,69,8.0,692.9,72
33,157,84,10.5,987.7,67
51,183,89,10.5,1632.2,105
53,151,97,8.0,913.6,71
35,176,45,13.5,972.2,100
45,159,60,13.5,449.4,32
23,184,83,10.5,441.4,30
44,172,49,8.0,105.9,16
25,157,66,13.5,392.1,27
44,177,73,10.5,762.0,59
22,172,99,8.0,1275.3,94
45,153,47,10.5,703.2,86
33,163,56,8.0,422.2,57
32,178,70,13.5,1305.6,86
39,150,60,13.5,908.2,68
47,153,95,10.5,1492.2,88
19,181,81,13.5,1931.5,111
37,182,66,13.5,657.2,45
42,175,73,8.0,926.6,90
52,166,58,13.5,308.9,23
58,188,72,8.0,1109.9,115
53,172,49,8.0,603.4,87
38,181,91,10.5,1032.3,62
58,164,93,8.0,428.4,32
28,162,74,13.5,1850.2,108
58,151,90,8.0,1398.6,110
29,168,96,8.0,1525.5,118
27,173,49,10.5,877.7,101
32,173,56,13.5,319.5,25
24,160,60,13.5,1016.4,76
56,171,70,13.5,1542.4,98
56,164,70,8.0,325.8,33
18,159,92,13.5,2466.5,114
46,176,65,13.5,1489.9,104
46,158,83,8.0,984.8,88
28,177,80,10.5,537.4,38
26,150,77,10.5,350.4,27
27,166,74,8.0,619.3,60
31,180,81,10.5,910.7,67
32,159,67,10.5,1312.0,112
33,186,54,10.5,411.2,43
42,178,98,13.5,1055.1,50
18,167,49,10.5,707.5,85
28,187,80,13.5,1912.0,108
42,188,78,10.5,417.6,31
39,155,96,13.5,1362.8,62
34,189,75,8.0,946.9,91
48,161,54,8.0,280.5,38
54,163,63,10.5,746.0,68
19,159,76,13.5,1773.1,109
54,169,45,8.0,671.3,105
19,164,49,8.0,640.3,99
46,180,89,8.0,190.8,15
17,156,48,8.0,620.1,93
46,159,60,10.5,852.9,81
48,159,68,13.5,312.3,20
44,188,60,8.0,791.1,92
37,177,99,10.5,1248.3,69
29,179,46,8.0,332.3,52
43,186,93,8.0,583.5,47
52,152,72,8.0,1199.1,116
23,164,76,8.0,220.7,22
38,170,71,10.5,1331.9,104
26,186,64,13.5,1363.4,93
55,161,68,10.5,1139.1,92
31,153,56,10.5,346.4,34
31,158,94,10.5,1084.3,69
20,188,79,8.0,685.0,62
48,177,77,13.5,1617.5,97
39,172,77,8.0,714.2,70
22,189,95,10.5,1835.8,111
40,171,87,8.0,1316.8,114
36,173,81,13.5,1901.3,102
53,175,56,13.5,316.6,24
36,179,47,8.0,432.1,66
28,182,45,10.5,490.7,64
49,165,77,8.0,528.8,48
44,171,84,10.5,761.0,50
24,167,54,13.5,932.5,75
17,156,87,8.0,1387.8,114
53,175,88,13.5,615.8,30
38,157,73,10.5,1148.1,93
22,155,57,10.5,333.0,32
37,179,56,8.0,687.9,85
48,188,75,8.0,656.4,61
51,172,90,8.0,1214.0,100
31,181,46,13.5,493.2,46
21,171,95,10.5,947.4,57
22,158,94,10.5,1610.8,97
41,180,79,13.5,992.5,54
56,156,67,8.0,697.8,79
45,158,61,8.0,407.8,49
23,162,70,13.5,1348.5,83
56,152,52,10.5,600.7,64
29,184,73,10.5,343.7,26
54,182,70,10.5,1066.0,90
34,170,54,10.5,954.8,99
18,180,70,13.5,1093.9,72
24,183,78,10.5,1361.8,97
27,181,95,13.5,1603.9,77
49,184,85,8.0,1047.3,87
54,164,51,13.5,719.7,63
43,181,48,10.5,440.4,50
36,155,97,8.0,1623.1,120
28,170,94,13.5,1457.3,68
59,182,89,13.5,1205.4,61
47,181,55,13.5,582.6,46
43,168,73,8.0,1140.5,113
48,182,80,13.5,1867.4,109
26,177,69,10.5,817.8,67
19,180,65,8.0,427.3,46
43,170,80,8.0,818.9,76
51,183,54,13.5,602.4,51
47,164,81,10.5,1576.2,110
31,163,53,8.0,870.0,115
32,168,68,13.5,1745.3,117
29,164,79,10.5,750.0,52
51,155,93,13.5,960.0,44
27,158,79,13.5,1241.5,72
37,186,92,8.0,571.6,46
27,169,80,8.0,903.1,80
46,183,62,13.5,947.7,65
51,187,93,8.0,328.4,25
38,175,83,8.0,833.5,73
54,167,76,10.5,437.2,34
47,177,68,10.5,604.5,51
30,158,67,13.5,1325.5,87
40,181,76,13.5,1950.1,116
48,155,81,13.5,1149.4,63
52,163,56,13.5,400.4,33
48,177,93,10.5,1117.6,69
31,173,99,8.0,709.3,54
59,162,57,10.5,200.0,21
51,161,67,13.5,296.7,19
19,168,69,13.5,843.8,56
32,170,79,10.5,1420.7,102
21,176,85,10.5,889.9,62
37,168,74,13.5,1934.3,119
26,173,61,8.0,174.7,21
35,175,93,13.5,504.5,25
41,177,64,10.5,930.2,87
20,167,92,13.5,1353.3,63
45,185,69,13.5,649.8,44
35,178,66,8.0,480.1,55
59,166,57,13.5,224.7,17
18,153,63,13.5,1386.6,100
26,178,93,13.5,1155.1,54
59,153,80,10.5,877.8,65
41,159,56,10.5,935.2,98
36,174,85,8.0,544.8,46
35,180,63,13.5,921.8,62
39,152,56,10.5,797.5,85
40,151,53,8.0,617.0,85
27,174,51,13.5,372.3,34
50,155,72,8.0,995.0,103
44,175,58,8.0,409.2,49
21,157,75,8.0,378.3,38
21,184,96,8.0,742.7,54
37,176,63,8.0,767.5,91
28,174,91,8.0,860.9,66
20,167,60,8.0,441.6,53
58,150,97,13.5,1857.3,82
36,188,49,13.5,798.1,75
54,152,79,8.0,1009.3,90
41,153,56,13.5,1218.6,95
30,186,69,8.0,757.3,79
27,164,96,13.5,1692.6,76
48,157,65,10.5,1096.6,95
27,187,80,8.0,183.7,16
34,168,97,10.5,335.5,20
43,175,67,8.0,832.3,89
34,188,60,8.0,490.6,57
39,159,83,10.5,1354.6,96
27,187,89,10.5,839.9,54
37,163,97,10.5,1829.0,103
21,168,86,8.0,628.9,53
39,179,83,10.5,595.0,42
57,154,58,10.5,939.9,94
41,180,75,13.5,1349.4,77
57,156,49,13.5,899.1,78
26,168,79,10.5,375.6,26
38,180,67,10.5,657.7,55
35,188,73,10.5,549.9,43
17,173,87,10.5,545.5,37
23,183,55,13.5,1179.0,99
20,172,62,8.0,770.7,94
17,189,91,10.5,985.2,65
31,155,56,10.5,1210.3,119
56,187,53,13.5,725.3,59
28,185,54,10.5,989.5,104
38,176,88,10.5,1859.3,115
38,160,61,13.5,516.5,36
33,154,82,10.5,349.7,24
45,166,51,10.5,186.8,21
30,156,90,13.5,1700.5,87
36,176,57,8.0,813.4,103
49,164,84,10.5,411.7,29
59,162,86,10.5,1355.6,91
31,160,53,8.0,918.7,120
28,175,94,13.5,1248.9,60
56,171,71,8.0,986.0,104
36,177,46,10.5,803.5,99
46,173,49,8.0,691.6,101
54,178,73,13.5,1194.2,75
19,158,81,10.5,1457.0,106
44,153,82,13.5,1451.5,75
42,167,63,13.5,897.7,65
46,165,52,8.0,386.7,52
29,182,92,8.0,329.9,26
29,178,89,13.5,2029.3,102
18,188,45,13.5,902.5,91
53,159,66,10.5,1400.2,118
54,158,96,13.5,1793.8,80
18,180,61,13.5,911.0,68
52,177,51,8.0,358.8,53
42,152,69,13.5,1346.5,90
27,163,89,13.5,1092.4,53
24,174,48,8.0,607.0,92
56,164,80,10.5,593.3,44
59,151,50,8.0,809.9,119
38,173,75,8.0,644.2,62
36,163,63,13.5,1423.4,97
24,156,88,13.5,903.6,45
45,185,98,10.5,647.2,39
56,173,83,13.5,1479.1,82
42,176,71,10.5,800.5,65
46,186,54,10.5,244.3,27
33,187,70,10.5,1432.2,114
36,179,63,10.5,840.6,77
32,176,83,13.5,1029.4,56
59,188,47,8.0,442.5,68
23,164,89,8.0,1445.4,115
32,175,57,13.5,1046.0,81
43,150,94,13.5,2048.2,94
39,153,72,10.5,1327.4,104
40,178,64,13.5,1748.1,118
25,150,72,8.0,710.9,70
51,171,52,13.5,1326.9,117
36,160,85,13.5,602.9,33
53,159,83,10.5,906.7,60
58,166,45,10.5,238.6,29
33,185,47,10.5,386.9,46
47,175,57,10.5,642.5,63
24,170,72,8.0,340.6,35
31,162,93,13.5,1660.1,79
47,158,69,13.5,1368.3,84
46,160,77,10.5,572.2,41
36,160,82,8.0,411.5,37
55,155,97,8.0,802.2,61
28,150,50,13.5,1224.2,109
33,155,88,10.5,396.6,26
58,162,89,13.5,1956.9,99
46,171,76,13.5,1385.4,80
45,180,89,8.0,222.5,19
35,171,91,8.0,297.2,23
27,186,65,13.5,509.2,34
50,176,60,10.5,1041.3,96
23,163,98,10.5,1365.6,77
50,154,65,13.5,1472.2,100
36,185,55,13.5,1094.1,86
54,181,81,10.5,1586.4,112
40,183,80,10.5,1273.0,87
26,156,79,10.5,1138.8,85
48,159,63,13.5,649.6,44
31,166,64,8.0,829.4,96
53,179,62,10.5,1094.0,105
36,170,91,10.5,474.8,30
19,162,85,10.5,1489.5,99
53,150,93,13.5,386.9,19
56,150,58,8.0,346.9,43
24,182,59,8.0,513.2,61
56,187,75,10.5,1472.7,115
39,174,45,13.5,367.4,36
56,175,97,8.0,1214.7,92
27,162,98,13.5,1570.2,71
24,177,98,8.0,1336.9,97
45,182,47,10.5,397.0,49
46,186,60,13.5,1445.1,102
26,179,67,10.5,1416.0,120
55,157,55,8.0,581.3,74
44,150,56,8.0,665.4,84
52,161,54,10.5,724.0,74
29,154,76,8.0,732.3,72
48,173,60,10.5,173.5,17
52,155,52,10.5,436.3,48
53,174,82,10.5,876.5,59
42,150,56,8.0,480.8,64
38,174,68,13.5,256.3,16
20,150,72,10.5,351.8,29
47,181,97,13.5,1076.9,51
34,152,52,8.0,201.7,29
54,168,72,8.0,743.4,74
40,178,80,13.5,2062.7,110
39,151,70,10.5,1183.1,99
38,158,52,8.0,564.1,78
18,166,94,10.5,1512.1,95
47,185,72,10.5,1429.7,112
27,166,72,13.5,1714.9,110
44,161,81,8.0,738.9,66
48,169,85,13.5,718.6,37
21,152,80,8.0,1260.4,113
54,153,71,13.5,785.4,51
26,166,98,8.0,720.4,55
56,186,61,8.0,987.0,115
40,164,53,8.0,536.6,71
51,182,77,10.5,1556.8,111
39,165,97,10.5,682.8,39
33,160,64,13.5,769.2,51
17,169,57,13.5,686.2,54
47,187,72,8.0,969.4,99
47,173,92,8.0,727.6,60
58,165,73,10.5,940.6,74
58,179,57,10.5,1174.6,116
50,183,90,10.5,1917.1,118
25,150,79,13.5,1944.5,112
38,173,50,10.5,289.1,33
29,173,62,13.5,1488.5,105
41,158,95,10.5,384.3,23
34,171,49,10.5,695.6,83
28,161,91,8.0,246.3,19
56,166,69,13.5,1546.8,103
33,174,46,10.5,335.0,40
